"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"Q9WV54"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.154321909805558	0.0762608165549052	-2.0236068373914	84	0.0461896182162318	0.186818573207905
"Q9WV55"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.643752129261756	0.184550961394098	-3.48820794212532	88	0.000761489196737575	0.0100539914634394
"Q9WV60"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.202691894735914	0.0812367580313805	-2.495076116376	103	0.0141815952429507	0.0839686893594642
"Q9WV69"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.416298040634959	0.199856461162616	2.08298514950803	42	0.0433785599611745	0.179235632645332
"Q9WV80"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.317922778048186	0.115343452791234	-2.75631403737854	96	0.00699643187484655	0.0533400536299142
"Q9WV85"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.663088988351021	0.561469365199553	-1.18098872253761	15	0.255994865748391	0.510508279727406
"Q9WV92"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0362328315132851	0.0549320040659481	-0.659594204314594	397	0.509896716707776	0.731772762764413
"Q9WV96"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.17286984401425	0.19162025730908	0.902148063267729	14	0.382237264091745	0.63689797204397
"Q9WV98"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.136682074184017	0.254778037303687	-0.536475104489072	62	0.593550035530142	0.783710247552939
"Q9WVA2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.366097696821715	0.0856778844816509	-4.27295443902003	50	8.63980903842432e-05	0.00187250200920819
"Q9WVA3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.150789266736887	0.115270832413583	-1.30813028395481	109	0.193581059114147	0.434863317931779
"Q9WVA4"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.453024198230689	0.137357985971015	3.29812784475658	63	0.00160317395918907	0.0172453905791617
"Q9WVC2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.460375843031024	0.278356457102117	-1.65390753936105	13	0.122076972648589	0.337081128002433
