"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"P70335"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0606918816842761	0.111484958112782	-0.544395250369813	15	0.594170622703792	0.831117189898835
"P70336"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0357532637515155	0.0907294054869738	0.394064785938101	235	0.693890552364242	0.88299366449305
"P70349"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.298520360627217	0.151123995214234	1.9753339646959	88	0.051364119156001	0.246862977143068
"P70362"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0422469277536942	0.153868209958578	-0.274565667366035	43	0.784964806001439	0.924298912702814
"P70372"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0146330651028544	0.0889478004539503	-0.164512950608938	104	0.869646674715392	0.955308396898069
"P70398"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0552299306209514	0.0723926723052129	0.762921561841203	387	0.445974960102686	0.74846710936205
"P70399"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.152625175255908	0.410278110846443	-0.372004187454768	17	0.714486224173242	0.893691298911431
"P70404"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.183897534319986	0.0908049932095948	-2.02519187348559	156	0.0445528137413551	0.228569343227467
"P70414"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0811934136921925	0.121859449630255	0.666287382214092	106	0.506674969409451	0.788975121818783
"P70429"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.5450051295592	0.141359550503423	3.85545318740953	16	0.00139914597452595	0.0295794909706529
"P70441"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.245215158677512	0.0942337783014839	2.60220022053016	117	0.0104601423993043	0.100927172777619
"P70452"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.61004818328997	0.411797994031473	-1.48142582560357	13	0.162321218356447	0.458601087060935
"P70460"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.207506257788625	0.223895671897051	0.926798879274622	17	0.367002647450398	0.683616823304903
"P70663"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.153670588749113	0.111718026359481	1.37552187195502	291	0.170027588356421	0.471314772987328
"P70697"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.719651643712415	0.419454140769372	1.71568611146004	30	0.0965316484100516	0.356154240279484
"P70698"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.562121696775939	0.435000198644307	1.2922331955889	11	0.222763426809913	0.542062671557779
"P70699"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.331990247649187	0.248009598115672	-1.33861854610299	14	0.202028170283818	0.517209351370376
"P70704"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0889307801032831	0.0928056909724365	-0.958247055449388	130	0.339716929306131	0.658787022165969
"P80313"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0841232486510601	0.0747760854128238	1.12500204024632	257	0.261637739766914	0.579064644339618
"P80314"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.161382996125462	0.0750350579748113	2.15076792743515	326	0.032229275919291	0.192373181976009
"P80315"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.167499123784401	0.0670251994107409	2.49904700406693	331	0.0129368476583362	0.113436073869279
"P80316"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.269440955456502	0.0707318615280975	3.80932934091476	308	0.000168204480048839	0.00666244411779655
"P80317"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.322841854433561	0.0868091748354475	3.71898310340501	295	0.000239378519690803	0.0088698750414463
"P80318"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.176004936810049	0.0764278985838444	2.30288860574865	415	0.0217789598808751	0.150703405119469
"P82343"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.125072669762168	0.33186653433673	0.376876415129169	12	0.712845353209276	0.893302209577804
"P83093"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.39327882677599	0.250344064770318	1.57095326840207	32	0.126030110851923	0.402129409255302
"P83510"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0824275585279217	0.117981526430898	0.698648008899934	16	0.494802709417732	0.782538342737549
